"Language ID","Module"
vi,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"tháng một"
_MONTH_LONG_02,"Tháng hai"
_MONTH_LONG_03,"diễu hành"
_MONTH_LONG_04,"Tháng Tư"
_MONTH_LONG_05,"có thể"
_MONTH_LONG_06,"Tháng sáu"
_MONTH_LONG_07,"Tháng Bảy"
_MONTH_LONG_08,"Tháng Tám"
_MONTH_LONG_09,"Tháng Chín"
_MONTH_LONG_10,"Tháng Mười"
_MONTH_LONG_11,"Tháng mười một"
_MONTH_LONG_12,"Tháng mười hai"
_MONTH_SHORT_01,"tháng một"
_MONTH_SHORT_02,"Tháng hai"
_MONTH_SHORT_03,"diễu hành"
_MONTH_SHORT_04,"Tháng Tư"
_MONTH_SHORT_05,"có thể"
_MONTH_SHORT_06,"Tháng sáu"
_MONTH_SHORT_07,"Tháng Bảy"
_MONTH_SHORT_08,"Tháng Tám"
_MONTH_SHORT_09,"Tháng Chín"
_MONTH_SHORT_10,"Tháng Mười"
_MONTH_SHORT_11,"Tháng mười một"
_MONTH_SHORT_12,"Tháng mười hai"
_WEEKDAY_0,"Chủ Nhật"
_WEEKDAY_1,"Thứ Hai"
_WEEKDAY_2,"Thứ ba"
_WEEKDAY_3,"Thứ tư"
_WEEKDAY_4,"Thứ năm"
_WEEKDAY_5,"Thứ Sáu"
_WEEKDAY_6,"Thứ bảy"
_WEEKDAY_SHORT_0,"CN"
_WEEKDAY_SHORT_1,"T2"
_WEEKDAY_SHORT_2,"T3"
_WEEKDAY_SHORT_3,"T4"
_WEEKDAY_SHORT_4,"T5"
_WEEKDAY_SHORT_5,"T6"
_WEEKDAY_SHORT_6,"T7"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Hủy"
_COPIED,"Đã sao chép"
_COPIED_TO_CLIPBOARD,"Đã sao chép vào clipboard"
_COPY_TO_CLIPBOARD,"Sao chép vào clipboard"
_NEXT,"Tiếp theo"
_PREV,"Trước đó"
_FILENAME,"Tên tệp:"
_LANGUAGE,"Ngôn ngữ:"
_PUBLISHED,"Đã xuất bản:"
_CHOOSE_YOUR_LANGUAGE,"Chọn ngôn ngữ của bạn:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Tên màn hình chỉ có thể chứa các chữ cái thường a-z, chữ cái hoa A-Z, số 0-9, dấu gạch ngang, gạch dưới và dấu chấm."
_ERROR_SCREEN_NAME_IN_USE,"Tên màn hình này đã được sử dụng."
_ERROR_SCREEN_NAME_TOO_LONG,"Tên màn hình không được dài hơn 50 ký tự."
_ERROR_SALUTATION_TOO_LONG,"Lời chào không được dài hơn 25 ký tự."
_ERROR_FIRST_NAME_TOO_LONG,"Tên không được dài hơn 100 ký tự."
_ERROR_LAST_NAME_TOO_LONG,"Họ không được dài hơn 100 ký tự."
_ERROR_EMAIL_ADDRESS_INVALID,"Địa chỉ email không hợp lệ."
_ERROR_EMAIL_ADDRESS_IN_USE,"Địa chỉ email này đã được sử dụng."
