"Language ID","Module"
ur,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"جنوری"
_MONTH_LONG_02,"فروری"
_MONTH_LONG_03,"مارچ"
_MONTH_LONG_04,"اپریل"
_MONTH_LONG_05,"مئی"
_MONTH_LONG_06,"جون"
_MONTH_LONG_07,"جولائی"
_MONTH_LONG_08,"اگست"
_MONTH_LONG_09,"ستمبر"
_MONTH_LONG_10,"اکتوبر"
_MONTH_LONG_11,"نومبر"
_MONTH_LONG_12,"دسمبر"
_MONTH_SHORT_01,"جنوری"
_MONTH_SHORT_02,"فروری"
_MONTH_SHORT_03,"مارچ"
_MONTH_SHORT_04,"اپریل"
_MONTH_SHORT_05,"مئی"
_MONTH_SHORT_06,"جون"
_MONTH_SHORT_07,"جولائی"
_MONTH_SHORT_08,"اگست"
_MONTH_SHORT_09,"ستمبر"
_MONTH_SHORT_10,"اکتوبر"
_MONTH_SHORT_11,"نومبر"
_MONTH_SHORT_12,"دسمبر"
_WEEKDAY_0,"اتوار"
_WEEKDAY_1,"پیر"
_WEEKDAY_2,"منگل"
_WEEKDAY_3,"بدھ"
_WEEKDAY_4,"جمعرات"
_WEEKDAY_5,"جمعہ"
_WEEKDAY_6,"ہفتہ"
_WEEKDAY_SHORT_0,"اتوار"
_WEEKDAY_SHORT_1,"پیر"
_WEEKDAY_SHORT_2,"منگ"
_WEEKDAY_SHORT_3,"بدھ"
_WEEKDAY_SHORT_4,"جمع"
_WEEKDAY_SHORT_5,"جمعہ"
_WEEKDAY_SHORT_6,"ہفتہ"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"منسوخ کریں"
_COPIED,"کاپی ہوگیا"
_COPIED_TO_CLIPBOARD,"کلپ بورڈ میں کاپی ہوگیا"
_COPY_TO_CLIPBOARD,"کلپ بورڈ میں کاپی کریں"
_NEXT,"اگلا"
_PREV,"پچھلا"
_FILENAME,"فائل کا نام:"
_LANGUAGE,"زبان:"
_PUBLISHED,"شائع شدہ:"
_CHOOSE_YOUR_LANGUAGE,"اپنی زبان کا انتخاب کریں:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"اسکرین نام میں صرف چھوٹے حروف a-z، بڑے حروف A-Z، نمبرز 0-9، ہائفن، انڈرسکور اور ڈاٹ شامل ہو سکتے ہیں۔"
_ERROR_SCREEN_NAME_IN_USE,"یہ اسکرین نام پہلے سے استعمال میں ہے۔"
_ERROR_SCREEN_NAME_TOO_LONG,"اسکرین نام 50 کریکٹر سے زیادہ نہیں ہو سکتا۔"
_ERROR_SALUTATION_TOO_LONG,"سلام 25 کریکٹر سے زیادہ نہیں ہو سکتا۔"
_ERROR_FIRST_NAME_TOO_LONG,"پہلا نام 100 کریکٹر سے زیادہ نہیں ہو سکتا۔"
_ERROR_LAST_NAME_TOO_LONG,"آخری نام 100 کریکٹر سے زیادہ نہیں ہو سکتا۔"
_ERROR_EMAIL_ADDRESS_INVALID,"ای میل ایڈریس درست نہیں ہے۔"
_ERROR_EMAIL_ADDRESS_IN_USE,"یہ ای میل ایڈریس پہلے سے استعمال میں ہے۔"
