"Language ID","Module"
cs,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"leden"
_MONTH_LONG_02,"únor"
_MONTH_LONG_03,"březen"
_MONTH_LONG_04,"duben"
_MONTH_LONG_05,"květen"
_MONTH_LONG_06,"červen"
_MONTH_LONG_07,"červenec"
_MONTH_LONG_08,"srpen"
_MONTH_LONG_09,"září"
_MONTH_LONG_10,"říjen"
_MONTH_LONG_11,"listopad"
_MONTH_LONG_12,"prosinec"
_MONTH_SHORT_01,"leden"
_MONTH_SHORT_02,"únor"
_MONTH_SHORT_03,"březen"
_MONTH_SHORT_04,"duben"
_MONTH_SHORT_05,"květen"
_MONTH_SHORT_06,"červen"
_MONTH_SHORT_07,"červenec"
_MONTH_SHORT_08,"srpen"
_MONTH_SHORT_09,"září"
_MONTH_SHORT_10,"říjen"
_MONTH_SHORT_11,"listopad"
_MONTH_SHORT_12,"prosinec"
_WEEKDAY_0,"neděle"
_WEEKDAY_1,"pondělí"
_WEEKDAY_2,"úterý"
_WEEKDAY_3,"středa"
_WEEKDAY_4,"čtvrtek"
_WEEKDAY_5,"pátek"
_WEEKDAY_6,"sobota"
_WEEKDAY_SHORT_0,"ne"
_WEEKDAY_SHORT_1,"po"
_WEEKDAY_SHORT_2,"út"
_WEEKDAY_SHORT_3,"st"
_WEEKDAY_SHORT_4,"čt"
_WEEKDAY_SHORT_5,"pá"
_WEEKDAY_SHORT_6,"so"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Zrušit"
_COPIED,"Zkopírováno"
_COPIED_TO_CLIPBOARD,"Zkopírováno do schránky"
_COPY_TO_CLIPBOARD,"Kopírovat do schránky"
_NEXT,"Další"
_PREV,"Předchozí"
_FILENAME,"Název souboru:"
_LANGUAGE,"Jazyk:"
_PUBLISHED,"Publikováno:"
_CHOOSE_YOUR_LANGUAGE,"Vyberte svůj jazyk:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Název obrazovky může obsahovat pouze malá písmena a-z, velká písmena A-Z, číslice 0-9, pomlčky, podtržítka a tečky."
_ERROR_SCREEN_NAME_IN_USE,"Tento název obrazovky je již používán."
_ERROR_SCREEN_NAME_TOO_LONG,"Název obrazovky nemůže být delší než 50 znaků."
_ERROR_SALUTATION_TOO_LONG,"Oslovení nemůže být delší než 25 znaků."
_ERROR_FIRST_NAME_TOO_LONG,"Jméno nemůže být delší než 100 znaků."
_ERROR_LAST_NAME_TOO_LONG,"Příjmení nemůže být delší než 100 znaků."
_ERROR_EMAIL_ADDRESS_INVALID,"E-mailová adresa není platná."
_ERROR_EMAIL_ADDRESS_IN_USE,"Tato e-mailová adresa je již používána."
