"Language ID","Module"
lt,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"sausis"
_MONTH_LONG_02,"vasaris"
_MONTH_LONG_03,"kovas"
_MONTH_LONG_04,"balandis"
_MONTH_LONG_05,"gegužė"
_MONTH_LONG_06,"birželis"
_MONTH_LONG_07,"liepa"
_MONTH_LONG_08,"rugpjūtis"
_MONTH_LONG_09,"rugsėjis"
_MONTH_LONG_10,"spalis"
_MONTH_LONG_11,"lapkritis"
_MONTH_LONG_12,"gruodis"
_MONTH_SHORT_01,"sau"
_MONTH_SHORT_02,"vas"
_MONTH_SHORT_03,"kov"
_MONTH_SHORT_04,"bal"
_MONTH_SHORT_05,"geg"
_MONTH_SHORT_06,"bir"
_MONTH_SHORT_07,"lie"
_MONTH_SHORT_08,"rgp"
_MONTH_SHORT_09,"rgs"
_MONTH_SHORT_10,"spa"
_MONTH_SHORT_11,"lap"
_MONTH_SHORT_12,"grd"
_WEEKDAY_0,"sekmadienis"
_WEEKDAY_1,"pirmadienis"
_WEEKDAY_2,"antradienis"
_WEEKDAY_3,"trečiadienis"
_WEEKDAY_4,"ketvirtadienis"
_WEEKDAY_5,"penktadienis"
_WEEKDAY_6,"šeštadienis"
_WEEKDAY_SHORT_0,"Sk"
_WEEKDAY_SHORT_1,"Pr"
_WEEKDAY_SHORT_2,"An"
_WEEKDAY_SHORT_3,"Tr"
_WEEKDAY_SHORT_4,"Kt"
_WEEKDAY_SHORT_5,"Pn"
_WEEKDAY_SHORT_6,"Št"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"baitas"
_FILE_SIZE_UNIT_BYTES,"baitai"
_CANCEL,"Atšaukti"
_COPIED,"Nukopijuota"
_COPIED_TO_CLIPBOARD,"Nukopijuota į iškarpinę"
_COPY_TO_CLIPBOARD,"Kopijuoti į iškarpinę"
_NEXT,"Kitas"
_PREV,"Ankstesnis"
_FILENAME,"Failo pavadinimas:"
_LANGUAGE,"Kalba:"
_PUBLISHED,"Paskelbta:"
_CHOOSE_YOUR_LANGUAGE,"Pasirinkite savo kalbą:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Ekrano pavadinime galima naudoti tik mažąsias raides a-z, didžiąsias raides A-Z, skaičius 0-9, brūkšnelius, pabraukimo ženklus ir taškus."
_ERROR_SCREEN_NAME_IN_USE,"Šis ekrano pavadinimas jau naudojamas."
_ERROR_SCREEN_NAME_TOO_LONG,"Ekrano pavadinimas negali būti ilgesnis nei 50 simbolių."
_ERROR_SALUTATION_TOO_LONG,"Kreipinys negali būti ilgesnis nei 25 simboliai."
_ERROR_FIRST_NAME_TOO_LONG,"Vardas negali būti ilgesnis nei 100 simbolių."
_ERROR_LAST_NAME_TOO_LONG,"Pavardė negali būti ilgesnė nei 100 simbolių."
_ERROR_EMAIL_ADDRESS_INVALID,"El. pašto adresas netinkamas."
_ERROR_EMAIL_ADDRESS_IN_USE,"Šis el. pašto adresas jau naudojamas."
