"Language ID","Module"
ar,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"يناير"
_MONTH_LONG_02,"فبراير"
_MONTH_LONG_03,"مسيرة"
_MONTH_LONG_04,"أبريل"
_MONTH_LONG_05,"قد"
_MONTH_LONG_06,"حزيران"
_MONTH_LONG_07,"يوليو"
_MONTH_LONG_08,"أغسطس"
_MONTH_LONG_09,"سبتمبر"
_MONTH_LONG_10,"أكتوبر"
_MONTH_LONG_11,"تشرين"
_MONTH_LONG_12,"الثاني"
_MONTH_SHORT_01,"ديسمبر"
_MONTH_SHORT_02,"يناير"
_MONTH_SHORT_03,"فبراير"
_MONTH_SHORT_04,"مسيرة"
_MONTH_SHORT_05,"أبريل"
_MONTH_SHORT_06,"قد"
_MONTH_SHORT_07,"حزيران"
_MONTH_SHORT_08,"يوليو"
_MONTH_SHORT_09,"أغسطس"
_MONTH_SHORT_10,"سبتمبر"
_MONTH_SHORT_11,"أكتوبر"
_MONTH_SHORT_12,"تشرين"
_WEEKDAY_0,"الثاني"
_WEEKDAY_1,"ديسمبر"
_WEEKDAY_2,"الأحد"
_WEEKDAY_3,"يوم"
_WEEKDAY_4,"الاثنين"
_WEEKDAY_5,"الثلاثاء"
_WEEKDAY_6,"الأربعاء"
_WEEKDAY_SHORT_0,"أحد"
_WEEKDAY_SHORT_1,"اثن"
_WEEKDAY_SHORT_2,"ثلاث"
_WEEKDAY_SHORT_3,"أربع"
_WEEKDAY_SHORT_4,"خمس"
_WEEKDAY_SHORT_5,"جم"
_WEEKDAY_SHORT_6,"سب"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
