"Language ID","Module"
zh-hans,zenario_common_features

"Phrase Code",Translation
__LANGUAGE_ENGLISH_NAME__,"Chinese"
__LANGUAGE_FLAG_FILENAME__,"cn"
__LANGUAGE_LOCAL_NAME__,"中文"
_GROUP_1,"询问"
_MONTH_LONG_01,"一月"
_MONTH_LONG_02,"二月"
_MONTH_LONG_03,"三月"
_MONTH_LONG_04,"四月"
_MONTH_LONG_05,"五月"
_MONTH_LONG_06,"六月"
_MONTH_LONG_07,"七月"
_MONTH_LONG_08,"八月"
_MONTH_LONG_09,"九月"
_MONTH_LONG_10,"十月"
_MONTH_LONG_11,"十一月"
_MONTH_LONG_12,"十二月"
_MONTH_SHORT_01,"一月"
_MONTH_SHORT_02,"二月"
_MONTH_SHORT_03,"三月"
_MONTH_SHORT_04,"四月"
_MONTH_SHORT_05,"五月"
_MONTH_SHORT_06,"六月"
_MONTH_SHORT_07,"七月"
_MONTH_SHORT_08,"八月"
_MONTH_SHORT_09,"九月"
_MONTH_SHORT_10,"十月"
_MONTH_SHORT_11,"十一月"
_MONTH_SHORT_12,"十二月"
_WEEKDAY_0,"星期日"
_WEEKDAY_1,"星期一"
_WEEKDAY_2,"星期二"
_WEEKDAY_3,"星期三"
_WEEKDAY_4,"星期四"
_WEEKDAY_5,"（星期五）"
_WEEKDAY_6,"星期六"
_WEEKDAY_SHORT_0,"周日"
_WEEKDAY_SHORT_1,"周一"
_WEEKDAY_SHORT_2,"周二"
_WEEKDAY_SHORT_3,"周三"
_WEEKDAY_SHORT_4,"周四"
_WEEKDAY_SHORT_5,"周五"
_WEEKDAY_SHORT_6,"周六"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"取消"
_COPIED,"已复制"
_COPIED_TO_CLIPBOARD,"已复制到剪贴板"
_COPY_TO_CLIPBOARD,"复制到剪贴板"
_NEXT,"下一个"
_PREV,"上一个"
_FILENAME,"文件名:"
_LANGUAGE,"语言:"
_PUBLISHED,"已发布:"
_CHOOSE_YOUR_LANGUAGE,"选择您的语言:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"屏幕名称只能包含小写字母a-z、大写字母A-Z、数字0-9、连字符、下划线和句点。"
_ERROR_SCREEN_NAME_IN_USE,"此屏幕名称已被使用。"
_ERROR_SCREEN_NAME_TOO_LONG,"屏幕名称不能超过50个字符。"
_ERROR_SALUTATION_TOO_LONG,"称呼不能超过25个字符。"
_ERROR_FIRST_NAME_TOO_LONG,"名字不能超过100个字符。"
_ERROR_LAST_NAME_TOO_LONG,"姓氏不能超过100个字符。"
_ERROR_EMAIL_ADDRESS_INVALID,"电子邮件地址无效。"
_ERROR_EMAIL_ADDRESS_IN_USE,"此电子邮件地址已被使用。"
