"Language ID","Module"
gu,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"જાન્યુઆરી"
_MONTH_LONG_02,"ફેબ્રુઆરી"
_MONTH_LONG_03,"માર્ચ"
_MONTH_LONG_04,"એપ્રિલ"
_MONTH_LONG_05,"મે,"
_MONTH_LONG_06,"જૂન"
_MONTH_LONG_07,"જુલાઈ"
_MONTH_LONG_08,"ઓગસ્ટ"
_MONTH_LONG_09,"સપ્ટેમ્બર"
_MONTH_LONG_10,"ઓક્ટોબર"
_MONTH_LONG_11,"નવેમ્બર"
_MONTH_LONG_12,"ડિસેમ્બર"
_MONTH_SHORT_01,"જાન્યુઆરી"
_MONTH_SHORT_02,"ફેબ્રુઆરી"
_MONTH_SHORT_03,"માર્ચ"
_MONTH_SHORT_04,"એપ્રિલ"
_MONTH_SHORT_05,"મે,"
_MONTH_SHORT_06,"જૂન"
_MONTH_SHORT_07,"જુલાઈ"
_MONTH_SHORT_08,"ઓગસ્ટ"
_MONTH_SHORT_09,"સપ્ટેમ્બર"
_MONTH_SHORT_10,"ઓક્ટોબર"
_MONTH_SHORT_11,"નવેમ્બર"
_MONTH_SHORT_12,"ડિસેમ્બર"
_WEEKDAY_0,"રવિવાર"
_WEEKDAY_1,"સોમવાર"
_WEEKDAY_2,"મંગળવાર"
_WEEKDAY_3,"બુધવાર"
_WEEKDAY_4,"ગુરુવાર"
_WEEKDAY_5,"શુક્રવાર"
_WEEKDAY_6,"શનિવાર"
_WEEKDAY_SHORT_0,"રવિ"
_WEEKDAY_SHORT_1,"સોમ"
_WEEKDAY_SHORT_2,"મંગળ"
_WEEKDAY_SHORT_3,"બુધ"
_WEEKDAY_SHORT_4,"ગુરુ"
_WEEKDAY_SHORT_5,"શુક્ર"
_WEEKDAY_SHORT_6,"શનિ"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"રદ કરો"
_COPIED,"કૉપિ કર્યું"
_COPIED_TO_CLIPBOARD,"ક્લિપબોર્ડમાં કૉપિ કર્યું"
_COPY_TO_CLIPBOARD,"ક્લિપબોર્ડમાં કૉપિ કરો"
_NEXT,"આગળ"
_PREV,"પાછળ"
_FILENAME,"ફાઇલનું નામ:"
_LANGUAGE,"ભાષા:"
_PUBLISHED,"પ્રકાશિત:"
_CHOOSE_YOUR_LANGUAGE,"તમારી ભાષા પસંદ કરો:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"સ્ક્રીન નામમાં માત્ર નાના અક્ષરો a-z, મોટા અક્ષરો A-Z, સંખ્યાઓ 0-9, હાયફન, અન્ડરસ્કોર અને ડોટ હોઈ શકે છે."
_ERROR_SCREEN_NAME_IN_USE,"આ સ્ક્રીન નામ પહેલેથી જ ઉપયોગમાં છે."
_ERROR_SCREEN_NAME_TOO_LONG,"સ્ક્રીન નામ 50 અક્ષરોથી વધુ લાંબું હોઈ શકે નહીં."
_ERROR_SALUTATION_TOO_LONG,"સંબોધન 25 અક્ષરોથી વધુ લાંબું હોઈ શકે નહીં."
_ERROR_FIRST_NAME_TOO_LONG,"પ્રથમ નામ 100 અક્ષરોથી વધુ લાંબું હોઈ શકે નહીં."
_ERROR_LAST_NAME_TOO_LONG,"છેલ્લું નામ 100 અક્ષરોથી વધુ લાંબું હોઈ શકે નહીં."
_ERROR_EMAIL_ADDRESS_INVALID,"ઈમેઈલ સરનામું માન્ય નથી."
_ERROR_EMAIL_ADDRESS_IN_USE,"આ ઈમેઈલ સરનામું પહેલેથી જ ઉપયોગમાં છે."
